ID;Name;Head;Torso;Arm;Leg;Foot
0;(none);true;true;true;true;true
1;Ecru Type;true;true;true;true;false
2;Beach Type I;true;true;true;true;false
3;Beach Type II;true;true;true;true;false
4;Colony Type I;true;true;true;true;false
5;Colony Type II;true;true;true;true;false
6;Colony Type III;true;true;true;true;false
7;Colony Type IV;true;true;true;true;false
8;Middle Type I;true;true;true;true;false
9;Middle Type II;true;true;true;true;false
10;Middle Type III;true;true;true;true;false
11;Middle Type IV;true;true;true;true;false
12;Makna Type I;true;true;true;true;false
13;Makna Type II;true;true;true;true;false
14;Legar Type III;true;true;true;true;false
15;Legar Type II;true;true;true;true;false
16;Legar Type I;true;true;true;true;false
17;Eryth Type I;true;true;true;true;false
18;Eryth Type II;true;true;true;true;false
19;Eryth Type III;true;true;true;true;false
20;Orion Type I;true;true;true;true;false
21;Orion Type II;true;true;true;true;false
22;M100 Type I;true;true;true;true;false
23;M100 Type II;true;true;true;true;false
24;Titan Type I;true;true;true;true;false
25;Titan Type II;true;true;true;true;false
26;Titan Type III;true;true;true;true;false
27;Glasses Type I;true;false;false;false;false
28;Glasses Type II;true;false;false;false;false
29;Prodigal Type I;true;true;true;true;false
30;Prodigal Type II;true;true;true;true;false
31;Prodigal Type III;true;true;true;true;false
32;Orion Legacy I;true;true;true;true;false
33;Orion Legacy II;true;true;true;true;false
34;M100 Legacy I;true;true;true;true;false
35;M100 Legacy II;true;true;true;true;false
36;Titan Legacy I;true;true;true;true;false
37;Titan Legacy II;true;true;true;true;false
38;Titan Legacy III;true;true;true;true;false
39;Resort Style I;true;true;true;true;false
40;Resort Style II;true;true;true;true;false
41;Resort Style III;true;true;true;true;false
